session_id,user_id,seller_id,category,city_tier,event,timestamp,order_value
S4207,738,125,beauty,1,view,2025-01-01 00:50:33,
S4207,738,125,beauty,1,add_to_cart,2025-01-01 00:51:03,
S18950,5652,720,fashion,3,view,2025-01-01 01:09:16,
S1195,154,510,home,2,view,2025-01-01 01:22:39,
S13054,1825,645,electronics,3,view,2025-01-01 01:45:38,
S13054,1825,645,electronics,3,add_to_cart,2025-01-01 01:46:08,
S7682,4341,245,fashion,1,view,2025-01-01 01:51:46,
S7426,5286,584,fashion,1,view,2025-01-01 02:13:35,
S7011,369,22,beauty,3,view,2025-01-01 02:23:23,
S7011,369,22,beauty,3,add_to_cart,2025-01-01 02:23:53,
S7011,369,22,beauty,3,checkout_start,2025-01-01 02:24:53,
S5079,1763,384,fashion,3,view,2025-01-01 02:49:10,
S17069,2395,382,beauty,3,view,2025-01-01 02:54:59,
S8699,5869,277,home,1,view,2025-01-01 02:57:19,
S8699,5869,277,home,1,add_to_cart,2025-01-01 02:57:49,
S3686,2582,275,fashion,2,view,2025-01-01 03:00:38,
S11337,2144,330,beauty,1,view,2025-01-01 03:14:59,
S2086,5218,295,mobiles,1,view,2025-01-01 03:25:52,
S9270,2200,435,mobiles,2,view,2025-01-01 03:47:03,
S9270,2200,435,mobiles,2,add_to_cart,2025-01-01 03:47:33,
S9270,2200,435,mobiles,2,checkout_start,2025-01-01 03:48:33,
S9270,2200,435,mobiles,2,purchase,2025-01-01 03:50:03,854.1
S7850,5542,523,fashion,3,view,2025-01-01 03:54:12,
S3453,872,141,beauty,1,view,2025-01-01 04:01:31,
S10414,5455,771,electronics,2,view,2025-01-01 04:37:20,
S11691,2437,728,electronics,1,view,2025-01-01 04:46:09,
S12012,2138,42,home,2,view,2025-01-01 04:46:24,
S17077,5350,250,electronics,1,view,2025-01-01 04:52:05,
S17077,5350,250,electronics,1,add_to_cart,2025-01-01 04:52:35,
S9567,3913,491,electronics,1,view,2025-01-01 04:52:52,
S17077,5350,250,electronics,1,checkout_start,2025-01-01 04:53:35,
S17077,5350,250,electronics,1,purchase,2025-01-01 04:55:05,570.65
S2131,5110,705,home,1,view,2025-01-01 05:34:16,
S2131,5110,705,home,1,add_to_cart,2025-01-01 05:34:46,
S10688,4399,41,mobiles,3,view,2025-01-01 05:52:34,
S13863,4172,480,fashion,1,view,2025-01-01 05:54:23,
S6917,2649,291,electronics,3,view,2025-01-01 06:28:33,
S9329,1703,213,beauty,2,view,2025-01-01 06:36:24,
S15355,388,128,electronics,1,view,2025-01-01 06:38:12,
S13523,4318,16,fashion,1,view,2025-01-01 07:14:57,
S10097,947,169,beauty,3,view,2025-01-01 07:24:41,
S9115,5484,328,electronics,2,view,2025-01-01 07:37:00,
S15304,4596,775,mobiles,1,view,2025-01-01 07:44:01,
S557,3517,672,fashion,2,view,2025-01-01 07:46:13,
S557,3517,672,fashion,2,add_to_cart,2025-01-01 07:46:43,
S6438,4781,367,mobiles,1,view,2025-01-01 08:24:52,
S6438,4781,367,mobiles,1,add_to_cart,2025-01-01 08:25:22,
S8986,4478,74,electronics,2,view,2025-01-01 08:31:30,
S8986,4478,74,electronics,2,add_to_cart,2025-01-01 08:32:00,
S10586,5927,395,beauty,1,view,2025-01-01 08:35:46,
S10587,180,679,fashion,1,view,2025-01-01 09:31:43,
S12294,3928,670,mobiles,1,view,2025-01-01 09:31:52,
S5308,4049,435,home,2,view,2025-01-01 10:48:29,
S13208,4171,323,mobiles,1,view,2025-01-01 10:54:21,
S13004,425,81,beauty,1,view,2025-01-01 10:58:57,
S84,5043,583,beauty,1,view,2025-01-01 11:03:49,
S16258,3637,395,mobiles,1,view,2025-01-01 11:35:12,
S19125,3223,426,home,3,view,2025-01-01 11:37:48,
S16094,4422,450,mobiles,2,view,2025-01-01 11:41:52,
S16094,4422,450,mobiles,2,add_to_cart,2025-01-01 11:42:22,
S16094,4422,450,mobiles,2,checkout_start,2025-01-01 11:43:22,
S16094,4422,450,mobiles,2,purchase,2025-01-01 11:44:52,359.22
S2334,5038,151,home,1,view,2025-01-01 11:46:20,
S6191,5669,219,electronics,3,view,2025-01-01 11:57:10,
S15097,2196,31,fashion,1,view,2025-01-01 11:58:39,
S15097,2196,31,fashion,1,add_to_cart,2025-01-01 11:59:09,
S15097,2196,31,fashion,1,checkout_start,2025-01-01 12:00:09,
S8998,584,12,electronics,2,view,2025-01-01 12:24:39,
S14536,1941,632,electronics,2,view,2025-01-01 12:28:49,
S5161,3760,715,beauty,2,view,2025-01-01 12:39:05,
S7607,5248,104,mobiles,2,view,2025-01-01 12:39:08,
S5161,3760,715,beauty,2,add_to_cart,2025-01-01 12:39:35,
S11077,4462,377,beauty,3,view,2025-01-01 13:05:07,
S11077,4462,377,beauty,3,add_to_cart,2025-01-01 13:05:37,
S4611,2677,720,mobiles,1,view,2025-01-01 13:13:38,
S16857,316,107,mobiles,1,view,2025-01-01 13:22:26,
S9635,4881,42,fashion,1,view,2025-01-01 13:22:55,
S9635,4881,42,fashion,1,add_to_cart,2025-01-01 13:23:25,
S1198,3573,414,fashion,2,view,2025-01-01 13:59:47,
S46,1752,411,fashion,1,view,2025-01-01 14:12:53,
S46,1752,411,fashion,1,add_to_cart,2025-01-01 14:13:23,
S13105,3245,416,fashion,1,view,2025-01-01 14:28:04,
S5718,4637,265,home,2,view,2025-01-01 14:31:15,
S4370,4143,560,electronics,1,view,2025-01-01 15:14:39,
S15293,5798,745,electronics,1,view,2025-01-01 15:29:48,
S15293,5798,745,electronics,1,add_to_cart,2025-01-01 15:30:18,
S15293,5798,745,electronics,1,checkout_start,2025-01-01 15:31:18,
S15293,5798,745,electronics,1,purchase,2025-01-01 15:32:48,1602.27
S553,134,128,home,1,view,2025-01-01 15:34:32,
S553,134,128,home,1,add_to_cart,2025-01-01 15:35:02,
S7808,4049,477,beauty,1,view,2025-01-01 15:56:25,
S4560,698,486,beauty,1,view,2025-01-01 16:19:54,
S4560,698,486,beauty,1,add_to_cart,2025-01-01 16:20:24,
S9610,691,456,fashion,2,view,2025-01-01 16:25:06,
S19235,2916,705,electronics,1,view,2025-01-01 16:31:04,
S19235,2916,705,electronics,1,add_to_cart,2025-01-01 16:31:34,
S5825,2589,135,fashion,3,view,2025-01-01 16:40:57,
S7606,1834,385,beauty,1,view,2025-01-01 16:44:53,
S5177,5538,732,mobiles,3,view,2025-01-01 16:53:11,
S1557,4404,434,mobiles,1,view,2025-01-01 16:55:02,
S1557,4404,434,mobiles,1,add_to_cart,2025-01-01 16:55:32,
S1557,4404,434,mobiles,1,checkout_start,2025-01-01 16:56:32,
S1557,4404,434,mobiles,1,purchase,2025-01-01 16:58:02,253.56
S4282,4330,693,electronics,2,view,2025-01-01 17:10:23,
S8117,2560,178,electronics,2,view,2025-01-01 17:41:20,
S8526,759,297,fashion,1,view,2025-01-01 17:56:07,
S8992,5036,608,electronics,3,view,2025-01-01 18:03:35,
S8992,5036,608,electronics,3,add_to_cart,2025-01-01 18:04:05,
S17746,629,578,home,2,view,2025-01-01 18:25:43,
S16216,2051,109,home,3,view,2025-01-01 18:26:19,
S16216,2051,109,home,3,add_to_cart,2025-01-01 18:26:49,
S16216,2051,109,home,3,checkout_start,2025-01-01 18:27:49,
S16216,2051,109,home,3,purchase,2025-01-01 18:29:19,717.45
S4248,3759,685,home,1,view,2025-01-01 18:32:46,
S9467,3759,520,fashion,1,view,2025-01-01 18:35:35,
S19257,4346,759,home,1,view,2025-01-01 18:41:26,
S19257,4346,759,home,1,add_to_cart,2025-01-01 18:41:56,
S8033,1523,748,fashion,2,view,2025-01-01 19:07:38,
