user_id,city_tier,stage,amount,date
1,Tier-2,visited,0,2025-07-21 00:26:14.913430
1,Tier-2,visited,0,2025-08-25 00:26:14.913430
1,Tier-2,added_to_cart,0,2025-08-25 00:26:14.913430
2,Tier-3,visited,0,2025-08-19 00:26:14.913430
2,Tier-3,added_to_cart,0,2025-08-19 00:26:14.913430
2,Tier-3,visited,0,2025-07-09 00:26:14.913430
3,Tier-3,visited,0,2025-07-12 00:26:14.913430
3,Tier-3,visited,0,2025-08-17 00:26:14.913430
3,Tier-3,added_to_cart,0,2025-08-17 00:26:14.913430
4,Tier-1,visited,0,2025-08-27 00:26:14.913430
4,Tier-1,visited,0,2025-08-12 00:26:14.913430
4,Tier-1,added_to_cart,0,2025-08-12 00:26:14.913430
4,Tier-1,visited,0,2025-07-11 00:26:14.913430
4,Tier-1,added_to_cart,0,2025-07-11 00:26:14.913430
4,Tier-1,visited,0,2025-07-11 00:26:14.913430
5,Tier-1,visited,0,2025-07-17 00:26:14.913430
5,Tier-1,added_to_cart,0,2025-07-17 00:26:14.913430
5,Tier-1,purchased,410,2025-07-17 00:26:14.913430
5,Tier-1,visited,0,2025-07-14 00:26:14.913430
5,Tier-1,added_to_cart,0,2025-07-14 00:26:14.913430
6,Tier-2,visited,0,2025-07-31 00:26:14.913430
6,Tier-2,added_to_cart,0,2025-07-31 00:26:14.913430
6,Tier-2,visited,0,2025-08-07 00:26:14.913430
6,Tier-2,added_to_cart,0,2025-08-07 00:26:14.913430
6,Tier-2,visited,0,2025-07-28 00:26:14.913430
6,Tier-2,added_to_cart,0,2025-07-28 00:26:14.913430
6,Tier-2,visited,0,2025-07-14 00:26:14.913430
6,Tier-2,added_to_cart,0,2025-07-14 00:26:14.913430
6,Tier-2,purchased,1676,2025-07-14 00:26:14.913430
6,Tier-2,purchased,1935,2025-07-15 00:26:14.913430
6,Tier-2,visited,0,2025-07-11 00:26:14.913430
7,Tier-2,visited,0,2025-08-03 00:26:14.913430
7,Tier-2,added_to_cart,0,2025-08-03 00:26:14.913430
7,Tier-2,purchased,1540,2025-08-03 00:26:14.913430
8,Tier-3,visited,0,2025-08-06 00:26:14.913430
8,Tier-3,added_to_cart,0,2025-08-06 00:26:14.913430
8,Tier-3,purchased,836,2025-08-06 00:26:14.913430
8,Tier-3,visited,0,2025-08-16 00:26:14.913430
9,Tier-2,visited,0,2025-07-20 00:26:14.913430
9,Tier-2,added_to_cart,0,2025-07-20 00:26:14.913430
9,Tier-2,purchased,1264,2025-07-20 00:26:14.913430
9,Tier-2,visited,0,2025-08-02 00:26:14.913430
9,Tier-2,visited,0,2025-08-20 00:26:14.913430
9,Tier-2,visited,0,2025-07-09 00:26:14.913430
10,Tier-3,visited,0,2025-08-04 00:26:14.913430
10,Tier-3,added_to_cart,0,2025-08-04 00:26:14.913430
10,Tier-3,visited,0,2025-07-24 00:26:14.913430
10,Tier-3,visited,0,2025-08-18 00:26:14.913430
10,Tier-3,visited,0,2025-08-28 00:26:14.913430
10,Tier-3,visited,0,2025-07-19 00:26:14.913430
10,Tier-3,added_to_cart,0,2025-07-19 00:26:14.913430
10,Tier-3,purchased,213,2025-07-19 00:26:14.913430
11,Tier-2,visited,0,2025-08-23 00:26:14.913430
11,Tier-2,added_to_cart,0,2025-08-23 00:26:14.913430
11,Tier-2,visited,0,2025-07-28 00:26:14.913430
11,Tier-2,added_to_cart,0,2025-07-28 00:26:14.913430
11,Tier-2,purchased,882,2025-07-28 00:26:14.913430
12,Tier-1,visited,0,2025-07-13 00:26:14.913430
12,Tier-1,visited,0,2025-08-27 00:26:14.913430
13,Tier-3,visited,0,2025-07-09 00:26:14.913430
13,Tier-3,added_to_cart,0,2025-07-09 00:26:14.913430
13,Tier-3,visited,0,2025-08-13 00:26:14.913430
13,Tier-3,added_to_cart,0,2025-08-13 00:26:14.913430
13,Tier-3,visited,0,2025-07-14 00:26:14.913430
13,Tier-3,added_to_cart,0,2025-07-14 00:26:14.913430
13,Tier-3,visited,0,2025-08-15 00:26:14.913430
14,Tier-2,visited,0,2025-08-08 00:26:14.913430
14,Tier-2,added_to_cart,0,2025-08-08 00:26:14.913430
15,Tier-2,visited,0,2025-07-08 00:26:14.913430
15,Tier-2,added_to_cart,0,2025-07-08 00:26:14.913430
15,Tier-2,purchased,1561,2025-07-08 00:26:14.913430
15,Tier-2,visited,0,2025-08-04 00:26:14.913430
15,Tier-2,visited,0,2025-07-18 00:26:14.913430
15,Tier-2,added_to_cart,0,2025-07-18 00:26:14.913430
15,Tier-2,visited,0,2025-07-27 00:26:14.913430
15,Tier-2,added_to_cart,0,2025-07-27 00:26:14.913430
16,Tier-3,visited,0,2025-08-16 00:26:14.913430
17,Tier-3,visited,0,2025-08-06 00:26:14.913430
17,Tier-3,added_to_cart,0,2025-08-06 00:26:14.913430
17,Tier-3,purchased,1954,2025-08-06 00:26:14.913430
18,Tier-2,visited,0,2025-07-20 00:26:14.913430
18,Tier-2,added_to_cart,0,2025-07-20 00:26:14.913430
18,Tier-2,purchased,1737,2025-07-20 00:26:14.913430
18,Tier-2,visited,0,2025-08-10 00:26:14.913430
18,Tier-2,visited,0,2025-07-09 00:26:14.913430
18,Tier-2,added_to_cart,0,2025-07-09 00:26:14.913430
19,Tier-1,visited,0,2025-08-21 00:26:14.913430
19,Tier-1,added_to_cart,0,2025-08-21 00:26:14.913430
19,Tier-1,visited,0,2025-08-02 00:26:14.913430
19,Tier-1,added_to_cart,0,2025-08-02 00:26:14.913430
